标签类型,一级标签值
十大靶群,小镇家庭
十大靶群,都市家庭
十大靶群,小镇中产
十大靶群,学生一族
十大靶群,都市中产
十大靶群,都市Z世代
十大靶群,小镇青年
十大靶群,银发一族
十大靶群,都市蓝领
十大靶群,小镇中年
职业,学生
职业,公司职员
职业,个体或服务业
职业,农民
职业,工人
职业,教职工
职业,医务人员
职业,城市其他职业
职业,金融从业者
职业,农村其他职业
年龄,0~15岁
年龄,16~20岁
年龄,21~25岁
年龄,26~30岁
年龄,31~35岁
年龄,36~40岁
年龄,41~45岁
年龄,46~50岁
年龄,51~55岁
年龄,56~60岁
年龄,61~65岁
年龄,66~70岁
年龄,71岁及以上
性别,男
性别,女
学历,高中
学历,专科
学历,职高
学历,本科
学历,硕士
学历,博士
婚姻状况,未婚
婚姻状况,已婚
城市线级,一线
城市线级,二线
城市线级,三线
城市线级,四线
城市线级,五线
城市线级,六线-1
常用收货省份,广东
常用收货省份,江苏
常用收货省份,四川
常用收货省份,山东
常用收货省份,北京
常用收货省份,浙江
常用收货省份,上海
常用收货省份,湖北
常用收货省份,河南
常用收货省份,河北
常用收货省份,其他
孩子预测年龄,孕期6-10个月
孩子预测年龄,0-3个月
孩子预测年龄,3-6个月
孩子预测年龄,6-9个月
孩子预测年龄,9-12个月
孩子预测年龄,12-18个月
孩子预测年龄,18-24个月
孩子预测年龄,24-36个月
孩子预测年龄,3-4岁
孩子预测年龄,4-5岁
孩子预测年龄,5-6岁
孩子预测年龄,6-12岁
孩子预测年龄,12-14岁
孩子预测年龄,14-18岁
客户当前使用手机品牌,Apple
客户当前使用手机品牌,华为
客户当前使用手机品牌,vivo
客户当前使用手机品牌,小米
客户当前使用手机品牌,荣耀
客户当前使用手机品牌,REDMI
客户当前使用手机品牌,OPPO
客户当前使用手机品牌,一加
客户当前使用手机品牌,三星
客户当前使用手机品牌,REALME
客户当前使用手机品牌,其他
无线端操作系统,Android
无线端操作系统,IOS
用户年代,00后
用户年代,10后
用户年代,60后
用户年代,70后
用户年代,80后
用户年代,90后
京享值,200<京享值<3000
京享值,3000<=京享值<5000
京享值,5000<=京享值<6000
京享值,京享值>=6000
PLUS会员,是
PLUS会员,否
购买力,极高
购买力,高
购买力,中
购买力,低
有车一族,未知
有车一族,是
有车一族,否
有房人群,是
有房人群,未知
日均订单数量-近7天,(0-1)单
日均订单数量-近7天,[1-2)单
日均订单数量-近7天,[2-3)单
日均订单数量-近7天,[3-4)单
日均订单数量-近7天,[4-5)单
日均订单数量-近7天,[5-6)单
日均订单数量-近7天,9单及以上
日均订单数量-近7天,[6-7)单
日均订单数量-近7天,[7-8)单
日均订单数量-近7天,[8-9)单
日均订单数量-近30天,(0-1)单
日均订单数量-近30天,[1-2)单
日均订单数量-近30天,[2-3)单
日均订单数量-近30天,[3-4)单
日均订单数量-近30天,4单以上
用户月支付订单数量,大于10单
用户月支付订单数量,1笔订单
用户月支付订单数量,2笔订单
用户月支付订单数量,3笔订单
用户月支付订单数量,4笔订单
用户月支付订单数量,5笔订单
用户月支付订单数量,6笔订单
用户月支付订单数量,7笔订单
用户月支付订单数量,8笔订单
用户月支付订单数量,9笔订单
用户月支付订单数量,10笔订单
无线端购物活跃时段-近7天,[11-12)时
无线端购物活跃时段-近7天,[22-23)时
无线端购物活跃时段-近7天,[21-22)时
无线端购物活跃时段-近7天,[10-11)时
无线端购物活跃时段-近7天,[20-21)时
无线端购物活跃时段-近7天,其他
用户月平均支付订单总额,10元以下
用户月平均支付订单总额,10-50元
用户月平均支付订单总额,50-100元
用户月平均支付订单总额,100-200元
用户月平均支付订单总额,200-300元
用户月平均支付订单总额,300-500元
用户月平均支付订单总额,500-1000元
用户月平均支付订单总额,1000元以上
促销敏感度,近一年有复购用户&极度敏感
促销敏感度,近一年有复购用户&高度敏感
促销敏感度,近一年有复购用户&中度敏感
促销敏感度,近一年有复购用户&轻度敏感
促销敏感度,近一年有复购用户&不敏感
促销敏感度,一年前有复购用户&高度敏感
促销敏感度,一年前有复购用户&轻度敏感
促销敏感度,一年前有复购用户&中度敏感
促销敏感度,一年前有复购用户&极度敏感
促销敏感度,一年前有复购用户&不敏感
促销敏感度,近一年无复购用户&极度敏感
促销敏感度,近一年无复购用户&轻度敏感
促销敏感度,一年前无复购用户&不敏感
促销敏感度,近一年无复购用户&中度敏感
促销敏感度,一年前无复购用户&极度敏感
促销敏感度,一年前无复购用户&轻度敏感
促销敏感度,近一年无复购用户&不敏感
促销敏感度,近一年无复购用户&高度敏感
促销敏感度,一年前无复购用户&中度敏感
促销敏感度,一年前无复购用户&高度敏感
评价敏感度,极度敏感
评价敏感度,高度敏感
评价敏感度,中度敏感
评价敏感度,不敏感
评价敏感度,轻度敏感
商品折扣率偏好,7-8折
商品折扣率偏好,6-7折
商品折扣率偏好,8-9折
商品折扣率偏好,5-6折
商品折扣率偏好,9折以上
商品折扣率偏好,5折以下
商品折扣率偏好,不打折
热衷使用优惠券用户,未知
热衷使用优惠券用户,热衷用券
冲动购买,未知
冲动购买,冲动购买
秒杀商品偏好,轻度偏好
秒杀商品偏好,中度偏好
秒杀商品偏好,高度偏好
秒杀商品偏好,极度偏好
用户消费月份偏好,1月份
用户消费月份偏好,10月份
用户消费月份偏好,5月份
用户消费月份偏好,6月份
用户消费月份偏好,11月份
用户消费月份偏好,2月份
用户消费月份偏好,3月份
用户消费月份偏好,9月份
用户消费月份偏好,12月份
用户消费月份偏好,4月份
用户消费月份偏好,8月份
用户消费月份偏好,7月份
宠物爱好者,重度爱好者
宠物爱好者,中度爱好者
宠物爱好者,轻度爱好者
旅游爱好者,重度爱好者
旅游爱好者,中度爱好者
旅游爱好者,轻度爱好者
健身爱好者,重度爱好者
健身爱好者,中度爱好者
健身爱好者,轻度爱好者
体育运动爱好者,重度爱好者
体育运动爱好者,中度爱好者
体育运动爱好者,轻度爱好者
户外运动爱好者,重度爱好者
户外运动爱好者,中度爱好者
户外运动爱好者,轻度爱好者
游戏爱好者,重度爱好者
游戏爱好者,中度爱好者
游戏爱好者,轻度爱好者
科技产品爱好者,重度爱好者
科技产品爱好者,中度爱好者
科技产品爱好者,轻度爱好者
全站新品偏好,低
全站新品偏好,中
全站新品偏好,高
女装用户,未知
女装用户,广泛
女装用户,精确
